"","herd_class","herd_subclass","month","Averagebiototal","adjvaltotal"
"1","B","BP",1,18.2,40.6
"2","B","BP",2,17.8,37.9
"3","B","BP",3,16.8,38.2
"4","B","BP",4,17.1,37.6
"5","B","BP",5,17.1,37.6
"6","B","BP",6,17.5,37.4
"7","B","BP",7,17.3,37.7
"8","B","BP",8,17.7,37.7
"9","B","BP",9,17.8,38.6
"10","B","BP",10,18.1,38.8
"11","B","BP",11,17.8,38
"12","B","BP",12,17.4,38.8
"13","B","BSB",1,38.1,88.4
"14","B","BSB",2,36.5,81.3
"15","B","BSB",3,34.5,82.7
"16","B","BSB",4,34.9,81.3
"17","B","BSB",5,35.7,83.1
"18","B","BSB",6,36.9,84.5
"19","B","BSB",7,36.2,83.6
"20","B","BSB",8,36.8,82.2
"21","B","BSB",9,36.5,82.5
"22","B","BSB",10,37.2,83.7
"23","B","BSB",11,37.3,83.6
"24","B","BSB",12,36.7,86.6
"25","B","BSW",1,16.5,36.4
"26","B","BSW",2,16,33.9
"27","B","BSW",3,14.9,33.5
"28","B","BSW",4,15.2,33.2
"29","B","BSW",5,15.4,34
"30","B","BSW",6,16.1,34.7
"31","B","BSW",7,16.1,35.5
"32","B","BSW",8,16.6,35.7
"33","B","BSW",9,16.7,36.5
"34","B","BSW",10,16.7,36
"35","B","BSW",11,16,34.2
"36","B","BSW",12,15.5,34.2
"37","B","BSY",1,28.9,65.5
"38","B","BSY",2,28.2,61.3
"39","B","BSY",3,26.7,62.1
"40","B","BSY",4,27.2,61.7
"41","B","BSY",5,27.8,63.2
"42","B","BSY",6,28.6,63.8
"43","B","BSY",7,28.3,64.1
"44","B","BSY",8,29.1,63.7
"45","B","BSY",9,29,64.4
"46","B","BSY",10,28.9,63.6
"47","B","BSY",11,27.9,60.8
"48","B","BSY",12,27,61.5
"49","B","BSY_nR",1,17.2,38.7
"50","B","BSY_nR",2,16.8,36.1
"51","B","BSY_nR",3,15.9,37.2
"52","B","BSY_nR",4,16,36.4
"53","B","BSY_nR",5,16.4,37.1
"54","B","BSY_nR",6,17,38.3
"55","B","BSY_nR",7,17,38.4
"56","B","BSY_nR",8,17.5,38.1
"57","B","BSY_nR",9,17.4,38.2
"58","B","BSY_nR",10,17.3,37.8
"59","B","BSY_nR",11,16.6,35.9
"60","B","BSY_nR",12,16,36.5
"61","D","D",1,77.6,190
"62","D","D",2,75.7,178.6
"63","D","D",3,72,179.3
"64","D","D",4,73,177
"65","D","D",5,73,177.8
"66","D","D",6,75.8,175.7
"67","D","D",7,74.4,178.8
"68","D","D",8,76.4,179
"69","D","D",9,76.7,183.7
"70","D","D",10,77.6,182
"71","D","D",11,76.5,179.4
"72","D","D",12,75.4,181.3
"73","D","DRm",1,88.8,211.8
"74","D","DRm",2,86.1,197.4
"75","D","DRm",3,82.1,202
"76","D","DRm",4,83,198.5
"77","D","DRm",5,84.2,201
