year,herd_class,herd_subclass,herd_numbers
2011,B,BP,2458
2012,B,BP,2279
2013,B,BP,2201
2014,B,BP,2211
2015,B,BP,2198
2016,B,BP,2166
2017,B,BP,2142
2018,B,BP,2193
2019,B,BP,2233
2020,B,BP,2206
2021,B,BP,2211
2011,B,BSB,7294
2012,B,BSB,6891
2013,B,BSB,7201
2014,B,BSB,7074
2015,B,BSB,6407
2016,B,BSB,6554
2017,B,BSB,6183
2018,B,BSB,6421
2019,B,BSB,6231
2020,B,BSB,6012
2021,B,BSB,5031
2011,B,BSW,31864
2012,B,BSW,33161
2013,B,BSW,29139
2014,B,BSW,28291
2015,B,BSW,30539
2016,B,BSW,29469
2017,B,BSW,29279
2018,B,BSW,28220
2019,B,BSW,27519
2020,B,BSW,26134
2021,B,BSW,26636
2011,B,BSY,14974
2012,B,BSY,13827
2013,B,BSY,17082
2014,B,BSY,16405
2015,B,BSY,13835
2016,B,BSY,14182
2017,B,BSY,13738
2018,B,BSY,13808
2019,B,BSY,13145
2020,B,BSY,13739
2021,B,BSY,12649
2011,B,BSY_nR,4197
2012,B,BSY_nR,3988
2013,B,BSY_nR,4276
2014,B,BSY_nR,4326
2015,B,BSY_nR,3941
2016,B,BSY_nR,3658
2017,B,BSY_nR,3547
2018,B,BSY_nR,3338
2019,B,BSY_nR,3266
2020,B,BSY_nR,3310
2021,B,BSY_nR,3132
2011,D,D,8337
2012,D,D,8516
2013,D,D,7588
2014,D,D,7818
2015,D,D,8163
2016,D,D,7987
2017,D,D,7794
2018,D,D,7310
2019,D,D,7445
2020,D,D,7329
2021,D,D,7698
2011,D,DnR_C,545
2012,D,DnR_C,654
2013,D,DnR_C,720
2014,D,DnR_C,833
2015,D,DnR_C,914
2016,D,DnR_C,932
2017,D,DnR_C,929
2018,D,DnR_C,929
2019,D,DnR_C,1056
2020,D,DnR_C,1081
2021,D,DnR_C,1100
2011,D,DnR_nC,558
2012,D,DnR_nC,564
2013,D,DnR_nC,506
2014,D,DnR_nC,556
2015,D,DnR_nC,685
2016,D,DnR_nC,770
2017,D,DnR_nC,807
2018,D,DnR_nC,900
2019,D,DnR_nC,946
2020,D,DnR_nC,985
2021,D,DnR_nC,1004
2011,D,DRm,3834
2012,D,DRm,4013
2013,D,DRm,4934
2014,D,DRm,4499
2015,D,DRm,3720
2016,D,DRm,3766
2017,D,DRm,3465
2018,D,DRm,3335
2019,D,DRm,2990
2020,D,DRm,2874
2021,D,DRm,2722
2011,F,F,16585
2012,F,F,15116
2013,F,F,15581
2014,F,F,16624
2015,F,F,15730
2016,F,F,16454
2017,F,F,16981
2018,F,F,17055
2019,F,F,17238
2020,F,F,17280
2021,F,F,16903
2011,M,M,5227
2012,M,M,5234
2013,M,M,5171
2014,M,M,5100
2015,M,M,5285
2016,M,M,5349
2017,M,M,5330
2018,M,M,5435
2019,M,M,5150
2020,M,M,5315
2021,M,M,5024
2011,S,Rdf,177
2012,S,Rdf,259
2013,S,Rdf,291
2014,S,Rdf,362
2015,S,Rdf,416
2016,S,Rdf,414
2017,S,Rdf,439
2018,S,Rdf,413
2019,S,Rdf,516
2020,S,Rdf,562
2021,S,Rdf,561
2011,S,Sbf,3421
2012,S,Sbf,3727
2013,S,Sbf,3521
2014,S,Sbf,3906
2015,S,Sbf,4235
2016,S,Sbf,4066
2017,S,Sbf,4253
2018,S,Sbf,4354
2019,S,Sbf,4728
2020,S,Sbf,4538
2021,S,Sbf,4971
2011,S,Sbm,4777
2012,S,Sbm,5433
2013,S,Sbm,5287
2014,S,Sbm,5435
2015,S,Sbm,5762
2016,S,Sbm,5550
2017,S,Sbm,5683
2018,S,Sbm,5771
2019,S,Sbm,6060
2020,S,Sbm,5789
2021,S,Sbm,6565
2011,S,Sbmx,2398
2012,S,Sbmx,2424
2013,S,Sbmx,2570
2014,S,Sbmx,2803
2015,S,Sbmx,3146
2016,S,Sbmx,3216
2017,S,Sbmx,3426
2018,S,Sbmx,3442
2019,S,Sbmx,3472
2020,S,Sbmx,3782
2021,S,Sbmx,4408
2011,S,Sdm,1587
2012,S,Sdm,2797
2013,S,Sdm,2873
2014,S,Sdm,2713
2015,S,Sdm,2856
2016,S,Sdm,3087
2017,S,Sdm,2805
2018,S,Sdm,2343
2019,S,Sdm,2296
2020,S,Sdm,2373
2021,S,Sdm,2883
2011,T,T,1010
2012,T,T,1070
2013,T,T,1089
2014,T,T,1008
2015,T,T,1038
2016,T,T,981
2017,T,T,929
2018,T,T,870
2019,T,T,851
2020,T,T,890
2021,T,T,830
2011,U,U,5771
2012,U,U,4871
2013,U,U,4367
2014,U,U,3731
2015,U,U,4726
2016,U,U,4069
2017,U,U,3676
2018,U,U,3783
2019,U,U,3517
2020,U,U,3945
2021,U,U,3736
