"","year","herd_class","herd_subclass","mean","median","min","max"
"1",2011,"B","BP",33.1,19,1,436
"2",2011,"B","BSB",69.5,48,1,2437
"3",2011,"B","BSW",32.6,22,1,761
"4",2011,"B","BSY",58.5,45,1,1434
"5",2011,"B","BSY_nR",35,25,1,647
"6",2011,"D","D",132.7,112,1,1590
"7",2011,"D","DRm",166.7,148,1,1948
"8",2011,"D","DnR_C",188.3,161,3,858
"9",2011,"D","DnR_nC",49.9,38,1,611
"10",2011,"F","F",46,27,1,2194
"11",2011,"M","M",115.6,97,1,2660
"12",2011,"S","Rdf",60.4,46,1,286
"13",2011,"S","Sbf",19.3,12,1,616
"14",2011,"S","Sbm",21.8,14,1,700
"15",2011,"S","Sbmx",36.1,23,1,1610
"16",2011,"S","Sdm",41.5,24,1,704
"17",2011,"T","T",47.5,21,1,2129
"18",2011,"U","U",11.1,6,1,511
"19",2012,"B","BP",37.6,22,1,622
"20",2012,"B","BSB",78.2,53,1,1497
"21",2012,"B","BSW",37.5,26,1,1387
"22",2012,"B","BSY",65.6,50,1,1501
"23",2012,"B","BSY_nR",39.4,28,1,719
"24",2012,"D","D",149.2,124,1,2776
"25",2012,"D","DRm",188.9,165,1,2424
"26",2012,"D","DnR_C",228,187,3,2425
"27",2012,"D","DnR_nC",55,39,1,875
"28",2012,"F","F",51.1,30,1,2886
"29",2012,"M","M",126.7,104,1,2935
"30",2012,"S","Rdf",65.1,47,1,532
"31",2012,"S","Sbf",21.1,13,1,495
"32",2012,"S","Sbm",22.6,15,1,713
"33",2012,"S","Sbmx",39.7,25,1,1196
"34",2012,"S","Sdm",42.2,24,1,1032
"35",2012,"T","T",47.3,23,1,950
"36",2012,"U","U",12.8,7,1,725
"37",2013,"B","BP",36,21,1,429
"38",2013,"B","BSB",73.3,50,1,1363
"39",2013,"B","BSW",32.9,22,1,1092
"40",2013,"B","BSY",59.4,45,1,819
"41",2013,"B","BSY_nR",36.1,26,1,668
"42",2013,"D","D",136.9,115,1,1997
"43",2013,"D","DRm",177.5,158,1,1597
"44",2013,"D","DnR_C",203.1,174,3,1324
"45",2013,"D","DnR_nC",52.9,40,1,1001
"46",2013,"F","F",49.9,30,1,2640
"47",2013,"M","M",117.9,97,1,1266
"48",2013,"S","Rdf",55.1,37,1,485
"49",2013,"S","Sbf",18.5,12,1,955
"50",2013,"S","Sbm",21.8,14,1,633
"51",2013,"S","Sbmx",35.5,23,1,433
"52",2013,"S","Sdm",42.1,24,1,978
"53",2013,"T","T",52.3,25,1,1853
"54",2013,"U","U",11.7,7,1,840
"55",2014,"B","BP",36.7,22,1,505
"56",2014,"B","BSB",74.5,52,1,1943
"57",2014,"B","BSW",31.5,22,1,765
"58",2014,"B","BSY",58.5,45,1,1004
"59",2014,"B","BSY_nR",35.7,25,1,655
"60",2014,"D","D",142,120,1,2138
"61",2014,"D","DRm",178.8,157,1,1708
"62",2014,"D","DnR_C",199.1,169,17,1602
"63",2014,"D","DnR_nC",50.8,37,1,705
"64",2014,"F","F",49.9,30,1,3688
"65",2014,"M","M",121.5,100,1,1245
"66",2014,"S","Rdf",53.9,37,1,692
"67",2014,"S","Sbf",18.7,12,1,657
"68",2014,"S","Sbm",21.7,14,1,1013
"69",2014,"S","Sbmx",35.5,23,1,1140
"70",2014,"S","Sdm",40.9,23,1,1173
"71",2014,"T","T",47.8,22,1,1904
"72",2014,"U","U",11.5,6,1,691
"73",2015,"B","BP",36.7,22,1,456
"74",2015,"B","BSB",76.7,54,1,1568
"75",2015,"B","BSW",32.9,23,1,685
"76",2015,"B","BSY",60.7,47,1,980
"77",2015,"B","BSY_nR",37.9,27,1,396
"78",2015,"D","D",147.8,125,1,2196
"79",2015,"D","DRm",184.6,162,1,1779
"80",2015,"D","DnR_C",216.5,179,1,1403
"81",2015,"D","DnR_nC",60.9,48,1,879
"82",2015,"F","F",53,31,1,4092
"83",2015,"M","M",125,104,1,1704
"84",2015,"S","Rdf",56.2,40,1,342
"85",2015,"S","Sbf",19.8,13,1,842
"86",2015,"S","Sbm",22.2,14,1,838
"87",2015,"S","Sbmx",38.3,25,1,695
"88",2015,"S","Sdm",43.4,25,1,719
"89",2015,"T","T",47.9,21,1,1550
"90",2015,"U","U",14.1,7,1,926
"91",2016,"B","BP",37.7,23,1,440
"92",2016,"B","BSB",80.6,58,1,3366
"93",2016,"B","BSW",33.9,23,1,1029
"94",2016,"B","BSY",60.7,47,1,1042
"95",2016,"B","BSY_nR",36.5,26,1,617
"96",2016,"D","D",156.9,131,1,2195
"97",2016,"D","DRm",192.1,167,1,1878
"98",2016,"D","DnR_C",218.9,180,1,1728
"99",2016,"D","DnR_nC",64,48,1,817
"100",2016,"F","F",53.4,32,1,3762
"101",2016,"M","M",130.7,109,1,1239
"102",2016,"S","Rdf",56.8,41,1,357
"103",2016,"S","Sbf",19.6,12,1,784
"104",2016,"S","Sbm",22.4,14,1,938
"105",2016,"S","Sbmx",39.9,26,1,1237
"106",2016,"S","Sdm",45.5,26,1,1006
"107",2016,"T","T",53.3,22,1,4099
"108",2016,"U","U",13.9,7,1,1102
"109",2017,"B","BP",38.4,24,1,403
"110",2017,"B","BSB",83.3,60,1,4089
"111",2017,"B","BSW",34.5,24,1,974
"112",2017,"B","BSY",61.9,47,1,1079
"113",2017,"B","BSY_nR",36.5,26,1,423
"114",2017,"D","D",163,135,1,2266
"115",2017,"D","DRm",204.7,177,1,2337
"116",2017,"D","DnR_C",227.4,186,1,1898
"117",2017,"D","DnR_nC",68.8,49,1,848
"118",2017,"F","F",56.7,33,1,3687
"119",2017,"M","M",136.8,115,1,1174
