"","year","herd_subclass","Totalbio","Totalval","herd_class","adjval"
"1",2011,"BP",38.1,77.2,"Beef",77.6659959758551
"2",2011,"BSB",239.8,514.2,"Beef",517.303822937626
"3",2011,"BSW",491.4,992.1,"Beef",998.088531187123
"4",2011,"BSY",408.1,848.9,"Beef",854.024144869215
"5",2011,"BSY_nR",68.9,142.8,"Beef",143.661971830986
"6",2011,"D",525.6,1163.7,"Dairy",1170.72434607646
"7",2011,"DRm",285.5,615.7,"Dairy",619.416498993964
"8",2011,"DnR_C",49.4,108.9,"Dairy",109.557344064386
"9",2011,"DnR_nC",15.9,32,"Dairy",32.1931589537223
"10",2011,"F",351.5,813.2,"Fattening",818.108651911469
"11",2011,"M",274.7,583.6,"Mixed",587.122736418511
"12",2011,"Rdf",3.8,9.3,"Store/Rearing",9.35613682092555
"13",2011,"Sbf",26,58.5,"Store/Rearing",58.8531187122736
"14",2011,"Sbm",43.7,104.1,"Store/Rearing",104.728370221328
"15",2011,"Sbmx",32.9,73,"Store/Rearing",73.4406438631791
"16",2011,"Sdm",21.7,44.5,"Store/Rearing",44.7686116700201
"17",2011,"T",20.3,43.6,"Trading",43.8631790744467
"18",2011,"U",27.4,60.3,"Unclassified",60.6639839034205
"19",2012,"BP",39.4,92.2,"Beef",91.1968348170129
"20",2012,"BSB",247.2,609.9,"Beef",603.26409495549
"21",2012,"BSW",579.3,1351,"Beef",1336.30069238378
"22",2012,"BSY",412.9,993.7,"Beef",982.888229475767
"23",2012,"BSY_nR",71.7,173.3,"Beef",171.414441147379
"24",2012,"D",590.8,1497.1,"Dairy",1480.81107814045
"25",2012,"DRm",329.4,828.2,"Dairy",819.188921859545
"26",2012,"DnR_C",70,177,"Dairy",175.074183976261
"27",2012,"DnR_nC",17.4,39.3,"Dairy",38.8724035608309
"28",2012,"F",341.4,912.8,"Fattening",902.868447082097
"29",2012,"M",293,724.6,"Mixed",716.716122650841
"30",2012,"Rdf",5.8,16.4,"Store/Rearing",16.2215628090999
"31",2012,"Sbf",30.1,78.8,"Store/Rearing",77.9426310583581
"32",2012,"Sbm",49.3,140.2,"Store/Rearing",138.674579624135
"33",2012,"Sbmx",35.2,93.6,"Store/Rearing",92.5816023738872
"34",2012,"Sdm",36.4,92.9,"Store/Rearing",91.8892185954501
"35",2012,"T",20.7,51.1,"Trading",50.5440158259149
"36",2012,"U",26.7,68.5,"Unclassified",67.7546983184965
"37",2013,"BP",34.9,77.3,"Beef",76.0826771653543
"38",2013,"BSB",232.7,551.9,"Beef",543.208661417323
"39",2013,"BSW",425.8,939.7,"Beef",924.90157480315
"40",2013,"BSY",442.4,1014.3,"Beef",998.326771653543
"41",2013,"BSY_nR",67.4,156.2,"Beef",153.740157480315
"42",2013,"D",463.7,1108.6,"Dairy",1091.14173228346
"43",2013,"DRm",362.5,869.2,"Dairy",855.511811023622
"44",2013,"DnR_C",65.2,155.9,"Dairy",153.444881889764
"45",2013,"DnR_nC",14.5,31,"Dairy",30.511811023622
"46",2013,"F",335.2,878.6,"Fattening",864.763779527559
"47",2013,"M",256.6,606.3,"Mixed",596.751968503937
"48",2013,"Rdf",5.5,14.5,"Store/Rearing",14.2716535433071
"49",2013,"Sbf",25,60.6,"Store/Rearing",59.6456692913386
"50",2013,"Sbm",46.8,132.6,"Store/Rearing",130.511811023622
"51",2013,"Sbmx",32.8,83.6,"Store/Rearing",82.2834645669291
"52",2013,"Sdm",38.8,96.5,"Store/Rearing",94.9803149606299
"53",2013,"T",22.4,53.8,"Trading",52.9527559055118
"54",2013,"U",20.8,52.1,"Unclassified",51.2795275590551
"55",2014,"BP",37.9,79.5,"Beef",78.0943025540275
