"","year","herd_subclass","Averagebio","Averageval","herd_class","adjval"
"1",2011,"BP",15.6,31.5,"Beef",31.6901408450704
"2",2011,"BSB",33,70.7,"Beef",71.1267605633803
"3",2011,"BSW",15.5,31.2,"Beef",31.3883299798793
"4",2011,"BSY",27.3,56.7,"Beef",57.0422535211268
"5",2011,"BSY_nR",16.4,34.1,"Beef",34.3058350100604
"6",2011,"D",63.1,139.8,"Dairy",140.643863179074
"7",2011,"DRm",74.5,160.6,"Dairy",161.569416498994
"8",2011,"DnR_C",90.7,199.8,"Dairy",201.006036217304
"9",2011,"DnR_nC",29.2,59.1,"Dairy",59.4567404426559
"10",2011,"F",22.6,52.2,"Fattening",52.5150905432596
"11",2011,"M",52.7,111.9,"Mixed",112.575452716298
"12",2011,"Rdf",22.2,54.3,"Store/Rearing",54.6277665995976
"13",2011,"Sbf",7.9,17.8,"Store/Rearing",17.9074446680081
"14",2011,"Sbm",9.7,23.1,"Store/Rearing",23.2394366197183
"15",2011,"Sbmx",13.9,30.8,"Store/Rearing",30.9859154929577
"16",2011,"Sdm",14.4,29.6,"Store/Rearing",29.7786720321932
"17",2011,"T",22.4,48,"Trading",48.2897384305835
"18",2011,"U",4.8,10.7,"Unclassified",10.7645875251509
"19",2012,"BP",17.4,40.7,"Beef",40.2571711177052
"20",2012,"BSB",36,88.8,"Beef",87.8338278931751
"21",2012,"BSW",17.5,40.8,"Beef",40.3560830860534
"22",2012,"BSY",29.9,71.9,"Beef",71.1177052423343
"23",2012,"BSY_nR",18,43.5,"Beef",43.026706231454
"24",2012,"D",69.5,176.1,"Dairy",174.183976261128
"25",2012,"DRm",82.2,206.6,"Dairy",204.352126607319
"26",2012,"DnR_C",107,270.7,"Dairy",267.754698318497
"27",2012,"DnR_nC",32,72.2,"Dairy",71.4144411473788
"28",2012,"F",23.6,63.1,"Fattening",62.4134520276954
"29",2012,"M",56.1,138.7,"Mixed",137.190900098912
"30",2012,"Rdf",23.4,66.3,"Store/Rearing",65.5786350148368
"31",2012,"Sbf",8.4,22,"Store/Rearing",21.7606330365974
"32",2012,"Sbm",9.6,27.2,"Store/Rearing",26.9040553907023
"33",2012,"Sbmx",14.8,39.3,"Store/Rearing",38.8724035608309
"34",2012,"Sdm",13.7,34.9,"Store/Rearing",34.5202769535114
"35",2012,"T",21.3,52.6,"Trading",52.0276953511375
"36",2012,"U",5.3,13.6,"Unclassified",13.4520276953511
"37",2013,"BP",15.9,35.3,"Beef",34.744094488189
"38",2013,"BSB",32.4,76.8,"Beef",75.5905511811024
"39",2013,"BSW",14.7,32.3,"Beef",31.7913385826772
"40",2013,"BSY",25.9,59.4,"Beef",58.4645669291339
"41",2013,"BSY_nR",15.8,36.6,"Beef",36.0236220472441
"42",2013,"D",61.2,146.4,"Dairy",144.094488188976
"43",2013,"DRm",73.5,176.3,"Dairy",173.523622047244
"44",2013,"DnR_C",90.5,216.5,"Dairy",213.090551181102
"45",2013,"DnR_nC",29.6,63.6,"Dairy",62.5984251968504
"46",2013,"F",22.4,58.8,"Fattening",57.8740157480315
"47",2013,"M",49.7,117.5,"Mixed",115.649606299213
"48",2013,"Rdf",19.5,51.7,"Store/Rearing",50.8858267716536
"49",2013,"Sbf",7.3,17.6,"Store/Rearing",17.3228346456693
"50",2013,"Sbm",9.2,26.1,"Store/Rearing",25.6889763779528
"51",2013,"Sbmx",12.9,33,"Store/Rearing",32.4803149606299
"52",2013,"Sdm",14,34.7,"Store/Rearing",34.1535433070866
"53",2013,"T",22.6,54.1,"Trading",53.248031496063
"54",2013,"U",4.8,12,"Unclassified",11.8110236220472
"55",2014,"BP",17.2,36.1,"Beef",35.4616895874263
"56",2014,"BSB",35.1,78,"Beef",76.6208251473477
"57",2014,"BSW",14.9,31.1,"Beef",30.5500982318271
"58",2014,"BSY",27.2,58.6,"Beef",57.5638506876228
"59",2014,"BSY_nR",16.6,35.8,"Beef",35.1669941060904
"60",2014,"D",67.2,154.9,"Dairy",152.161100196464
"61",2014,"DRm",79.2,179,"Dairy",175.834970530452
"62",2014,"DnR_C",94.3,215.7,"Dairy",211.88605108055
"63",2014,"DnR_nC",29.7,62.8,"Dairy",61.6895874263261
"64",2014,"F",24,57.6,"Fattening",56.581532416503
"65",2014,"M",54.5,121.1,"Mixed",118.958742632613
"66",2014,"Rdf",20.7,51.9,"Store/Rearing",50.9823182711198
"67",2014,"Sbf",7.7,17.9,"Store/Rearing",17.5834970530452
"68",2014,"Sbm",9.4,23.7,"Store/Rearing",23.2809430255403
"69",2014,"Sbmx",13.6,31.7,"Store/Rearing",31.139489194499
"70",2014,"Sdm",14.9,32.8,"Store/Rearing",32.2200392927308
"71",2014,"T",21.9,48.8,"Trading",47.9371316306483
"72",2014,"U",5,11.5,"Unclassified",11.2966601178782
"73",2015,"BP",16.8,39.9,"Beef",39.3103448275862
"74",2015,"BSB",35.3,88,"Beef",86.6995073891626
"75",2015,"BSW",15.2,36,"Beef",35.4679802955665
"76",2015,"BSY",27.5,66.9,"Beef",65.9113300492611
"77",2015,"BSY_nR",17.2,41.7,"Beef",41.0837438423645
"78",2015,"D",68.9,178.9,"Dairy",176.256157635468
"79",2015,"DRm",80.9,206.2,"Dairy",203.152709359606
"80",2015,"DnR_C",102.2,263,"Dairy",259.113300492611
"81",2015,"DnR_nC",34.6,82.5,"Dairy",81.2807881773399
"82",2015,"F",24.9,65.8,"Fattening",64.8275862068965
"83",2015,"M",54.8,137.6,"Mixed",135.566502463054
"84",2015,"Rdf",20.7,59.7,"Store/Rearing",58.8177339901478
"85",2015,"Sbf",7.7,20.5,"Store/Rearing",20.1970443349754
"86",2015,"Sbm",9.3,25.6,"Store/Rearing",25.2216748768473
"87",2015,"Sbmx",13.6,36,"Store/Rearing",35.4679802955665
"88",2015,"Sdm",15.1,37.7,"Store/Rearing",37.1428571428571
"89",2015,"T",20.7,51.9,"Trading",51.1330049261084
"90",2015,"U",5.8,15,"Unclassified",14.7783251231527
"91",2016,"BP",17.6,36.8,"Beef",36.256157635468
"92",2016,"BSB",37.9,84,"Beef",82.7586206896552
"93",2016,"BSW",16.1,33.4,"Beef",32.9064039408867
"94",2016,"BSY",28.1,60.2,"Beef",59.3103448275862
"95",2016,"BSY_nR",16.9,36.4,"Beef",35.8620689655172
"96",2016,"D",75.6,172.4,"Dairy",169.852216748768
"97",2016,"DRm",86.4,194.2,"Dairy",191.330049261084
"98",2016,"DnR_C",106.6,241.7,"Dairy",238.128078817734
"99",2016,"DnR_nC",37.7,80,"Dairy",78.8177339901478
"100",2016,"F",25,60,"Fattening",59.1133004926108
"101",2016,"M",58.7,129.9,"Mixed",127.980295566502
"102",2016,"Rdf",21.5,53.7,"Store/Rearing",52.9064039408867
"103",2016,"Sbf",7.9,18,"Store/Rearing",17.7339901477833
"104",2016,"Sbm",9.2,23.6,"Store/Rearing",23.2512315270936
"105",2016,"Sbmx",14.3,33,"Store/Rearing",32.512315270936
"106",2016,"Sdm",15.3,33.8,"Store/Rearing",33.3004926108374
"107",2016,"T",22.5,50,"Trading",49.2610837438424
"108",2016,"U",5.9,13.6,"Unclassified",13.3990147783251
"109",2017,"BP",17.8,38.5,"Beef",37.7821393523062
"110",2017,"BSB",38.8,89,"Beef",87.3405299313052
"111",2017,"BSW",16.2,35.1,"Beef",34.4455348380765
"112",2017,"BSY",28.4,63.1,"Beef",61.9234543670265
"113",2017,"BSY_nR",16.7,37.2,"Beef",36.5063788027478
"114",2017,"D",77,183,"Dairy",179.587831207066
"115",2017,"DRm",89.9,210.7,"Dairy",206.771344455348
"116",2017,"DnR_C",108.9,257,"Dairy",252.208047105005
"117",2017,"DnR_nC",39.5,86.9,"Dairy",85.279685966634
"118",2017,"F",26.2,64.8,"Fattening",63.5917566241413
"119",2017,"M",60.5,138.7,"Mixed",136.113837095191
"120",2017,"Rdf",21.9,58.2,"Store/Rearing",57.1148184494603
"121",2017,"Sbf",8,19.4,"Store/Rearing",19.0382728164867
"122",2017,"Sbm",9.3,23.8,"Store/Rearing",23.3562315996075
"123",2017,"Sbmx",14.8,35.5,"Store/Rearing",34.838076545633
"124",2017,"Sdm",16.5,38.3,"Store/Rearing",37.585868498528
"125",2017,"T",22.8,52.5,"Trading",51.5210991167812
"126",2017,"U",6.1,14.8,"Unclassified",14.5240431795878
"127",2018,"BP",18.1,39.2,"Beef",38.28125
"128",2018,"BSB",39.2,90.1,"Beef",87.98828125
"129",2018,"BSW",16,34.8,"Beef",33.984375
"130",2018,"BSY",28.6,63.7,"Beef",62.20703125
"131",2018,"BSY_nR",16.3,36.1,"Beef",35.25390625
"132",2018,"D",82.4,196,"Dairy",191.40625
"133",2018,"DRm",92,215.4,"Dairy",210.3515625
"134",2018,"DnR_C",114.9,270.9,"Dairy",264.55078125
"135",2018,"DnR_nC",42.4,93.6,"Dairy",91.40625
"136",2018,"F",26.4,65.2,"Fattening",63.671875
"137",2018,"M",64.7,148.4,"Mixed",144.921875
"138",2018,"Rdf",23.4,62.4,"Store/Rearing",60.9375
"139",2018,"Sbf",8.2,19.9,"Store/Rearing",19.43359375
"140",2018,"Sbm",9.1,23.5,"Store/Rearing",22.94921875
"141",2018,"Sbmx",15.3,36.6,"Store/Rearing",35.7421875
"142",2018,"Sdm",16.7,39.1,"Store/Rearing",38.18359375
"143",2018,"T",25.6,58.6,"Trading",57.2265625
"144",2018,"U",5.2,12.5,"Unclassified",12.20703125
"145",2019,"BP",18.7,40,"Beef",38.7221684414327
"146",2019,"BSB",39.3,88.9,"Beef",86.0600193610842
"147",2019,"BSW",16.3,34.9,"Beef",33.7850919651501
"148",2019,"BSY",28.3,62.2,"Beef",60.2129719264279
"149",2019,"BSY_nR",16.6,36.2,"Beef",35.0435624394966
"150",2019,"D",84.2,197.2,"Dairy",190.900290416263
"151",2019,"DRm",97.2,223.9,"Dairy",216.74733785092
"152",2019,"DnR_C",120.7,280.4,"Dairy",271.442400774443
"153",2019,"DnR_nC",45.2,98.7,"Dairy",95.5469506292352
"154",2019,"F",26.6,64.5,"Fattening",62.4394966118103
"155",2019,"M",65.1,146.8,"Mixed",142.110358180058
"156",2019,"Rdf",24.7,65.6,"Store/Rearing",63.5043562439497
"157",2019,"Sbf",7.9,19,"Store/Rearing",18.3930300096805
"158",2019,"Sbm",9,22.4,"Store/Rearing",21.6844143272023
"159",2019,"Sbmx",15.4,36.1,"Store/Rearing",34.946757018393
"160",2019,"Sdm",17.6,40.5,"Store/Rearing",39.2061955469506
"161",2019,"T",26,58.9,"Trading",57.0183930300097
"162",2019,"U",5.4,12.7,"Unclassified",12.2942884801549
"163",2020,"BP",19,42.1,"Beef",40.873786407767
"164",2020,"BSB",36.8,84.8,"Beef",82.3300970873786
"165",2020,"BSW",16.5,36.9,"Beef",35.8252427184466
"166",2020,"BSY",29.2,66,"Beef",64.0776699029126
"167",2020,"BSY_nR",16.5,36.7,"Beef",35.6310679611651
"168",2020,"D",89.1,219.8,"Dairy",213.398058252427
"169",2020,"DRm",96.5,229.9,"Dairy",223.203883495146
"170",2020,"DnR_C",126.8,309.9,"Dairy",300.873786407767
"171",2020,"DnR_nC",48.9,112.4,"Dairy",109.126213592233
"172",2020,"F",25.9,61.5,"Fattening",59.7087378640777
"173",2020,"M",67.4,156.6,"Mixed",152.038834951456
"174",2020,"Rdf",24.9,70.5,"Store/Rearing",68.4466019417476
"175",2020,"Sbf",8.1,20.9,"Store/Rearing",20.2912621359223
"176",2020,"Sbm",9.4,21.8,"Store/Rearing",21.1650485436893
"177",2020,"Sbmx",15.5,36.2,"Store/Rearing",35.1456310679612
"178",2020,"Sdm",17.7,39.2,"Store/Rearing",38.0582524271845
"179",2020,"T",23.5,53.5,"Trading",51.9417475728155
"180",2020,"U",5.5,13.1,"Unclassified",12.7184466019417
"181",2021,"BP",18.8,49.9,"Beef",47.3434535104364
"182",2021,"BSB",37,100.8,"Beef",95.6356736242884
"183",2021,"BSW",16.7,44.8,"Beef",42.5047438330171
"184",2021,"BSY",29.2,78.9,"Beef",74.8576850094877
"185",2021,"BSY_nR",17.3,45.9,"Beef",43.5483870967742
"186",2021,"D",90.6,263.6,"Dairy",250.094876660342
"187",2021,"DRm",98.4,279.4,"Dairy",265.085388994307
"188",2021,"DnR_C",133,382.3,"Dairy",362.713472485768
"189",2021,"DnR_nC",49.7,133,"Dairy",126.185958254269
"190",2021,"F",27,74.8,"Fattening",70.9677419354839
"191",2021,"M",67.9,188.6,"Mixed",178.937381404175
"192",2021,"Rdf",25.7,88.4,"Store/Rearing",83.8709677419355
"193",2021,"Sbf",8.6,26.8,"Store/Rearing",25.426944971537
"194",2021,"Sbm",9.9,27.2,"Store/Rearing",25.8064516129032
"195",2021,"Sbmx",16.5,47.5,"Store/Rearing",45.0664136622391
"196",2021,"Sdm",19.1,52.8,"Store/Rearing",50.0948766603415
"197",2021,"T",29,79.4,"Trading",75.3320683111954
"198",2021,"U",5.7,16.3,"Unclassified",15.4648956356736
